1,Mandrem,INC,Dayanand Raghunath Sopte,58.96
2,Pernem (SC),MAG,Ajgaonkar Manohar Trimbak,56.78
3,Bicholim,BJP,Rajesh Patnekar,45.71
4,Tivim,INC,Nilkanth Ramnath Halarnkar,49.20
5,Mapusa,BJP,Francisco C. J. A. De Pinto E Souza,48.13
6,Siolim,GFP,Vinoda Datarama Paliencar,43.36
7,Saligao,GFP,Jayesh Vidyadhar Salgaonkar,46.30
8,Calangute,BJP,Michael Vincent Lobo,55.45
9,Porvorim,IND,Rohan Khaunte,56.85
10,Aldona,BJP,Glenn Souza Ticlo,43.53
11,Panaji,BJP,Sidharth Sripad Kuncalienker,45.70
12,Taleigao,INC,Jennifer Monserrate,51.13
13,St. Cruz,INC,Antonio Caetano Fernandes,27.92
14,St. Andre,INC,Francisco Silveira,48.85
15,Cumbarjua,BJP,Pandurang Madkaikar,60.30
16,Maem,BJP,Pravin Zantye,51.56
17,Sanquelim,BJP,Dr. Pramod Pandurang Sawant,42.44
18,Poriem,INC,Pratapsingh R Rane,54.27
19,Valpoi,INC,Vishwajit Pratapsingh Rane,53.28
20,Priol,IND,Govind Gaude,56.22
21,Ponda,INC,Ravi Sitaram Naik,37.86
22,Siroda,INC,Subhash Ankush Shirodkar,45.31
23,Marcaim,MAG,Ramkrishna Alias Sudin Dhavalikar,73.18
24,Mormugao,BJP,Milind Sagun Naik,48.82
25,Vasco-da-gama,BJP,Jose Luis Carlos Almeida,33.58
26,Dabolim,BJP,Mauvin Heliodoro Godinho,41.40
27,Cortalim,BJP,Alina Saldanha,24.13
28,Nuvem,INC,Wilfred D'Sa,46.47
29,Curtorim,INC,Aleixo Reginaldo Lourenco,60.28
30,Fatorda,GFP,Vijai Sardesai,45.65
31,Margao,INC,Digambar Vasant Kamat,54.15
32,Benaulim,NCP,Churchill Alemao,43.98
33,Navelim,INC,Luizinho Faleiro,38.33
34,Cuncolim,INC,Clafasio Dias,28.59
35,Velim,INC,Filipe Nery Rodrigues,44.28
36,Quepem,INC,Chandrakant (Babu) Kavlekar,50.73
37,Curchorem,BJP,Nilesh Cabral,59.21
38,Sanvordem,MAG,Deepak Prabhu Pauskar,57.43
39,Sanguem,IND,Prasad S. Gaonkar,33.66
40,Canacona,INC,Isidore Aleixinho Fernandes,38.10
