1,Khundrakpam,INC,Thokchom Lokeshwar Singh,56.12
2,Heingang,BJP,Nongthombam Biren Singh,38.11
3,Khurai,BJP,Leishangthem Susindro Meitei,51.41
4,Kshetrigao,BJP,Nahakpam Indrajit Singh,34.36
5,Thongju,BJP,Thongam Biswajit Singh,62.61
6,Keirao,BJP,Lourembam Rameshwor Meetei,22.81
7,Andro,INC,Thounaojam Shyamkumar,62.85
8,Lamlai,INC,Ksh. Biren Singh,48.02
9,Thangmeiband,INC,Khumukcham Joykisan Singh,48.84
10,Uripok,NPP,Yumnam Joykumar Singh,32.03
11,Sagolband,INC,Rajkumar Imo Singh,47.07
12,Keishamthong,NPP,Langpoklakpam Jayantakumar Singh,43.28
13,Singjamei,BJP,Yumnam Khemchand Singh,53.84
14,Yaiskul,BJP,Thokchom Satyabrata Singh,36.60
15,Wangkhei,INC,Okram Henry Singh,56.48
16,Sekmai (SC),BJP,Heikham Dingo Singh,54.82
17,Lamsang,BJP,Sorokhaibam Rajen Singh,44.93
18,Konthoujam,BJP,Dr. Sapam Ranjan Singh,54.99
19,Patsoi,INC,Km. Ak. Mirabai Devi,42.61
20,Langthabal,LJSP,Karam Shyam,39.00
21,Naoriya Pakhanglakpa,BJP,Soibam Subhaschandra Singh,28.38
22,Wangoi,INC,Oinam Lukhoi Singh,28.38
23,Mayang Imphal,BJP,Kongkham Robindro Singh,55.40
24,Nambol,INC,Nameirakpam Loken Singh,50.28
25,Oinam,BJP,Laishram Radhakishore Singh,49.07
26,Bishnupur,INC,Konthoujam Govindas,53.11
27,Moirang,BJP,Pukhrem Sharatchandra Singh,37.04
28,Thanga,AITC,Tongbram Robindro Singh,33.06
29,Kumbi,INC,Sanasam Bira Singh,49.91
30,Lilong,INC,Muhammad Abdul Nasir,36.69
31,Thoubal,INC,Okram Ibobi Singh,68.38
32,Wangkhem,INC,Keisham Meghachandra Singh,39.52
33,Heirok,BJP,Thokchom Radheshyam Singh,46.63
34,Wangjing Tentha,INC,Paonam Brojen Singh,43.37
35,Khangabok,INC,Surjakumar Okram,64.22
36,Wabgai,INC,Md. Fajur Rahim,45.16
37,Kakching,INC,Yengkhom Surchandra Singh,46.20
38,Hiyanglam,BJP,Dr. Radheshyam Yumnam,53.17
39,Sugnu,INC,Kangujam Ranjit Singh,56.19
40,Jiribam,IND,Ashab Uddin,35.70
41,Chandel (ST),NPP,Letpao Haokip,33.58
42,Tengnoupal (ST),INC,D. Korungthang,40.63
43,Phungyar (ST),NPF,K. Leishiyo,47.68
44,Ukhrul (ST),INC,Alfred Kanngam Arthur,35.88
45,Chingai (ST),NPF,Khashim Vashum,51.70
46,Saikul (ST),INC,Yamthong Haokip,29.59
47,Karong (ST),INC,D.D. Thaisii,31.84
48,Mao (ST),NPF,Losii Dikho,52.69
49,Tadubi (ST),NPP,N. Kayisii,41.99
50,Kangpokpi,BJP,Nemcha Kipgen,51.74
51,Saitu (ST),INC,Ngamthang Haokip,53.49
52,Tamei (ST),NPF,Awangbow Newmai,49.34
53,Tamenglong (ST),BJP,Samuel Jendai Kamei,53.44
54,Nungba (ST),INC,Gaikhangam,52.16
55,Tipaimukh (ST),INC,Dr. Chaltonlien Amo,42.35
56,Thanlon (ST),BJP,Vungzagin Valte,71.25
57,Henglep (ST),BJP,T. Thangzalam Haokip,35.48
58,Churachandpur (ST),BJP,V. Hangkhanlian,30.28
59,Saikot (ST),INC,T. N. Haokip,48.25
60,Singhat (ST),INC,Ginsuanhau,44.35
