1,Behat,INC,Naresh Saini,38.42
2,Nakur,BJP,Dr.Dharam Singh Saini,36.93
3,Saharanpur Nagar,SP,Sanjay Garg,46.68
4,Saharanpur,INC,Masood Akhtar,36.93
5,Deoband,BJP,Brijesh,43.64
6,Rampur Maniharan (SC),BJP,Devender Kumar Nim,34.94
7,Gangoh,BJP,Pradeep Kumar,38.64
8,Kairana,SP,Nahid Hasan,47.26
9,Thana Bhawan,BJP,Suresh Kumar,42.78
10,Shamli,BJP,Tejendra Nirwal,35.69
11,Budhana,BJP,Umesh Malik,40.55
12,Charthawal,BJP,Vijay Kumar Kashyap,39.64
13,Purqazi (SC),BJP,Pramod Utwal,37.93
14,Muzaffar Nagar,BJP,Kapil Dev Agarwal,45.38
15,Khatauli,BJP,Vikram Singh,44.47
16,Meerapur,BJP,Avtar Singh Bhadana,33.77
17,Najibabad,SP,Tasleem Ahmad,37.55
18,Nagina (SC),SP,Manoj Kumar Paras,36.75
19,Barhapur,BJP,Sushant Kumar,35.45
20,Dhampur,BJP,Ashok Kumar Rana,42.58
21,Nehtaur (SC),BJP,Omkumar,40.72
22,Bijnor,BJP,Suchi,42.95
23,Chandpur,BJP,Kamlesh Saini,42.27
24,Noorpur,BJP,Lokendra Singh,38.98
25,Kanth,BJP,Rajesh Kumar Singh (Chunnu),30.15
26,Thakurdwara,SP,Navab Jan,42.07
27,Moradabad Rural,SP,Haji Ikram Qureshi,44.23
28,Moradabad Nagar,BJP,Ritesh Kumar Gupta,44.60
29,Kundarki,SP,Mohammad Rizwan,41.83
30,Bilari,SP,Mohd. Faeem,37.40
31,Chandausi (SC),BJP,Gulab Devi,46.77
32,Asmoli,SP,Pinki Yadav,39.04
33,Sambhal,SP,Iqbal Mehmood,32.70
34,Suar,SP,Mohammad Abdullah Azam Khan,51.68
35,Chamraua,SP,Naseer Ahmad Khan,44.99
36,Bilaspur,BJP,Baldev Singh Aulakh,44.30
37,Rampur,SP,Mohammad Azam Khan,47.47
38,Milak (SC),BJP,Rajbala,41.54
39,Dhanaura (SC),BJP,Rajeev Kumar,45.72
40,Naugawan Sadat,BJP,Chetan Chauhan,41.43
41,Amroha,SP,Mehboob Ali,37.10
42,Hasanpur,BJP,Mahendra Singh Khargvanshi,43.65
43,Siwalkhas,BJP,Jitendra Pal Singh (Billu),32.32
44,Sardhana,BJP,Sangeet Singh Som,40.93
45,Hastinapur (SC),BJP,Dinesh Khatik,44.92
46,Kithore,BJP,Satyavir Tyagi,37.31
47,Meerut Cantt.,BJP,Satya Prakash Agarwal,55.93
48,Meerut,SP,Rafiq Ansari,52.79
49,Meerut South,BJP,Dr. Somendra Tomar,41.81
50,Chhaprauli,RLD,Sahender Singh Ramala,32.54
51,Baraut,BJP,Krishanpal Malik Urf Krishanpal Malik,42.89
52,Baghpat,BJP,Yogesh Dhama,46.61
53,Loni,BJP,Nandkishor,41.19
54,Muradnagar,BJP,Ajit Pal Tyagi,55.52
55,Sahibabad,BJP,Sunil Kumar Sharma,61.70
57,Modi Nagar,BJP,Dr. Manju Shiwach,50.32
58,Dholana,BSP,Aaaslam Choudhary,34.90
59,Hapur (SC),BJP,Vijay Pal (Aadhti),37.97
60,Garhmukteshwar,BJP,Kamal Singh Malik,41.08
61,Noida,BJP,Pankaj Singh,63.84
62,Dadri,BJP,Tejpal Singh Nagar,53.24
63,Jewar,BJP,Dhirendra Singh,48.71
64,Sikandrabad,BJP,Bimla Singh Solanki,41.66
65,Bulandshahr,BJP,Virendra Singh Sirohi,45.51
